CONF,G,W,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YearOffenseRank,YearDefenseRank,Made_Tournament
0,33,17,0.6734,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.8,-6.3,240,29,0
0,32,17,0.6047,47.3,48.7,20.5,17.5,34.0,31.3,42.4,35.2,48.4,47.1,29.6,35.0,67.8,-4.9,123,139,0
0,32,22,0.79,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46.0,50.1,45.0,30.5,27.3,65.9,-1.1,175,14,0
0,35,21,0.7997,52.1,46.0,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34.0,30.3,62.2,-3.5,86,52,0
0,31,13,0.5254,45.3,48.3,19.2,19.0,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,64.0,-9.6,253,82,0
0,31,10,0.2642,46.2,51.6,21.7,20.9,27.2,32.1,41.5,44.5,45.2,50.6,32.0,35.7,63.4,-12.8,307,179,0
0,31,18,0.6081,47.1,48.4,18.9,19.7,35.0,29.0,37.9,33.9,47.1,45.3,31.4,36.2,65.0,-5.4,168,108,0
0,32,19,0.6767,52.0,52.0,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,71.3,-2.1,40,213,0
0,33,16,0.5851,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,73.6,-7.8,99,198,0
0,30,16,0.5388,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,67.5,-6.0,197,115,0
0,32,11,0.4507,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30.0,45.7,46.0,29.2,35.3,68.6,-11.6,204,164,0
0,38,28,0.8454,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27.0,48.4,48.2,37.1,33.0,67.2,-0.8,24,88,0
0,30,8,0.3358,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,67.0,-12.6,259,203,0
0,32,14,0.5394,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49.0,33.0,31.3,71.6,-8.7,192,121,0
0,32,17,0.7403,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,65.7,-5.9,110,73,0
0,32,16,0.7136,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36.0,69.2,-5.5,43,179,0
0,32,11,0.3913,47.7,50.0,19.5,18.5,20.7,27.9,37.8,39.3,46.9,50.5,32.8,32.8,69.6,-11.6,303,113,0
0,31,22,0.7173,51.5,49.6,16.5,19.0,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,68.9,-0.1,38,186,0
0,32,17,0.7561,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,69.7,-5.2,77,77,0
0,32,10,0.3798,48.9,49.9,20.0,17.6,29.0,30.2,37.1,33.3,48.3,47.9,33.4,35.9,71.7,-14.7,208,217,0
0,31,13,0.4547,48.4,53.0,19.7,25.6,23.4,31.0,26.7,43.5,47.4,52.3,33.2,36.1,65.8,-11.8,301,70,0
0,33,20,0.5669,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,48.5,48.4,34.2,32.7,70.0,-5.2,118,176,0
0,35,20,0.5886,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,45.6,48.9,37.1,35.4,67.0,-5.2,106,179,0
0,30,15,0.5548,53.3,54.3,18.6,17.7,25.7,27.6,38.3,33.1,52.4,51.3,36.4,39.4,69.9,-7.0,72,237,0
0,33,15,0.501,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,53.3,44.5,29.7,34.5,73.6,-10.1,251,87,0
0,35,22,0.6922,53.9,49.9,16.2,20.0,20.7,30.7,31.6,34.6,55.6,50.9,34.2,32.1,70.1,-3.7,62,150,0
0,31,11,0.4729,46.6,51.2,17.0,18.0,29.8,26.6,40.1,32.5,45.7,50.3,32.4,34.9,70.0,-10.9,208,153,0
0,33,12,0.2891,47.0,50.6,20.3,16.9,24.2,27.3,34.4,38.5,44.3,48.9,34.2,35.6,65.2,-12.8,312,168,0
0,32,20,0.6799,49.7,49.9,17.6,20.9,33.0,31.0,42.4,41.5,48.5,48.1,34.8,35.3,70.0,-4.6,103,100,0
0,31,14,0.5405,55.5,54.4,20.2,18.4,25.8,27.5,31.8,29.2,59.5,52.5,33.7,38.3,67.2,-9.6,95,223,0
0,32,16,0.4469,49.7,50.8,17.6,18.4,33.0,28.9,35.4,36.4,47.8,51.0,35.0,33.5,67.3,-11.0,155,223,0
0,31,9,0.2223,47.9,52.3,18.5,21.1,18.8,32.8,26.9,30.4,52.1,52.1,28.8,35.1,67.2,-14.9,332,184,0
0,33,16,0.3854,49.1,52.1,18.2,16.1,27.9,26.7,31.8,30.8,49.1,51.5,32.6,35.3,70.1,-9.8,226,195,0
0,33,15,0.4952,49.5,51.4,19.2,17.1,31.7,30.0,28.9,28.1,50.2,50.3,32.1,35.7,66.8,-9.7,181,170,0
