Team,Conf,Record,AdjOE,OERank,AdjDE,DERank,Barthag,Rank,ProjW,ProjL,ProConW,ProConL,ConRec,SOS,NCSOS,Consos,ProjSOS,ProjNonconSOS,ProjConSOS,EliteSOS,EliteNonconSOS,OppOE,OppDE,OppProjOE,OppProjDE,ConAdjOE,ConAdjDE,QualO,QualD,QualBarthag,QualGames,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,ConfWinPct,WAB,WABRk,FunRk,AdjT
Connecticut,BE,31-8,121.47865251307884,3,91.20937434928555,9,0.9642803106614062,1,31,8,13,7,13-7,0.7065881944594934,0.5019260246117685,0.7492342456284502,0.7065881944594934,0.5019260246117685,0.7492342456284502,0.6780967471149563,0.7929986367315464,108.78101416062889,99.045147224389,108.78101416062889,99.045147224389,117.72073866307667,94.73894709233356,128.46371377865438,95.20475533441356,0.9690993759863132,18,-0.0463496806470357,1513.0,1367.0,1355.65,1.1160697820233838,1.0083723674989855,0,0.65,5.033128908513444,13,280,66.72789413345367
Alabama,SEC,31-6,116.08134182207522,15,89.02786823026261,3,0.9548442146065292,2,31,6,16,2,16-2,0.738887937560896,0.7037097047443245,0.7485799639173086,0.738887937560896,0.7037097047443245,0.7485799639173086,0.6615262110979417,0.6523203026273477,110.05836160446852,98.36036861411723,110.05836160446852,98.36036861411723,117.91898647929372,87.8628680123749,117.55448099177596,93.7422073556838,0.9310584860186932,19,0.041607842747194,1495.0,1198.0,1321.825,1.1310120477370302,0.906322697785259,0,0.8888888888888888,10.193101025750297,1,89,72.55142756652904
Houston,Amer,33-4,117.30710068289858,13,90.268479791817,5,0.95316154830291,3,33,4,17,1,17-1,0.6238630395774696,0.5309681683733404,0.6501121487445383,0.6238630395774696,0.5309681683733404,0.6501121487445383,0.7582018727826894,0.7864290099516885,107.20141033095196,101.3090736158444,107.20141033095196,101.3090736158444,122.07297664404275,94.69896899691538,123.4952188843416,94.92475500039752,0.9537286422358552,12,0.0317342785782607,1392.0,1104.0,1164.8625,1.1949908250973829,0.947751344042752,0,0.9444444444444444,8.046127743629517,5,111,63.359244474784205
UCLA,P12,31-6,114.91465805439842,23,88.4816010901049,2,0.9528464213607734,4,31,6,18,2,18-2,0.6960603085192486,0.5269242687644659,0.7567622865347835,0.6960603085192486,0.5269242687644659,0.7567622865347835,0.7060355258253533,0.8071427449392651,108.9117650999404,99.5446881168566,108.9117650999404,99.5446881168566,112.53352813490224,87.3966436296986,122.26339165957611,96.54671615394524,0.9379486360316244,16,0.0116763142670972,1400.0,1186.0,1311.5499999999995,1.067439289390416,0.9042735694407382,0,0.9,8.402795115776073,4,152,66.07164775419179
Tennessee,SEC,25-11,111.2114953977379,57,87.52919111882014,1,0.94012794568445,5,25,11,11,7,11-7,0.6899651794827557,0.5703512102527996,0.7481003553176719,0.6899651794827557,0.5703512102527996,0.7481003553176719,0.7059552870323872,0.7577173774968824,108.77960088826607,99.7557268096339,108.77960088826607,99.7557268096339,112.46359681792494,88.97587535937089,121.15760685910683,95.43474125092744,0.9396002705532772,15,-0.0976801734764241,1250.0,1077.0,1163.4125,1.0744254509900832,0.9257249685730556,0,0.6111111111111112,2.8097385349485284,25,349,65.14669625637008
Texas,B12,29-9,116.05752424360674,16,91.76055269456322,10,0.9371086097822868,6,29,9,12,6,12-6,0.7435345822646051,0.5248097362683317,0.8627572141390027,0.7435345822646051,0.5248097362683317,0.8627572141390027,0.6522517260221342,0.8012929376372951,110.60024916806064,98.90823264426722,110.60024916806064,98.90823264426722,115.61246837028588,94.80096668599998,127.57989302061436,101.4421805256567,0.9331689598649656,25,0.0225970226252233,1368.0,1301.0,1281.2499999999998,1.067707317073171,1.0154146341463417,0,0.6666666666666666,7.532983280881999,8,131,68.48438920120003
Purdue,B10,29-6,117.87095446263862,10,93.71080418932098,21,0.933257218699407,7,29,6,15,5,15-5,0.7027561267146984,0.5459544012088826,0.7884665262214565,0.7027561267146984,0.5459544012088826,0.7884665262214565,0.6974520747253484,0.7753464343054272,109.73953298283467,100.30503012648748,109.73953298283467,100.30503012648748,118.43905270782751,93.43339068742247,133.041108065865,103.99050751256247,0.9444397165735692,17,0.0584925899217925,1418.0,1282.0,1274.25,1.1128114577202275,1.0060820090249163,0,0.75,9.389752975028708,3,53,63.9271455648247
Arizona,P12,28-7,119.35198535144004,6,95.41287260402116,34,0.9291977025227836,8,28,7,14,6,14-6,0.687528843347683,0.5895469156832166,0.7162251975448759,0.687528843347683,0.5895469156832166,0.7162251975448759,0.7066616547561386,0.7590732824640014,107.2266709055541,98.1935696376537,107.2266709055541,98.1935696376537,116.7498995988702,96.17639421436846,123.85809818244306,97.04160833560302,0.9429971544902004,13,0.0348641600053043,1551.0,1419.0,1423.5500000000002,1.0895296968845491,0.9968037652348002,0,0.7,7.570797111701362,7,101,72.16694034889832
Gonzaga,WCC,31-6,123.16706689087718,1,98.98630075610306,78,0.9250788481521716,9,31,6,14,2,14-2,0.6620908553129843,0.6115810441001108,0.643381263439252,0.6620908553129843,0.6115810441001108,0.643381263439252,0.7128568553657266,0.7178113126860735,110.0323066325727,100.79496631613456,110.0323066325727,100.79496631613456,125.50042138362382,101.59258784412212,130.78306777610774,103.4027601907902,0.9371118986199684,13,0.0796034937801867,1431.0,1216.0,1153.7125,1.2403436731421391,1.0539887536973034,0,0.875,6.644952532855834,9,28,70.1224827817764
Saint Mary's,WCC,27-8,112.06098675972991,44,90.483928041424,6,0.9212545975976691,10,27,8,14,2,14-2,0.6476016802724145,0.5980415488341614,0.6403597291602354,0.6476016802724145,0.5980415488341614,0.6403597291602354,0.7596654974352394,0.8046545862126956,109.79080060920816,101.75554236824723,109.79080060920816,101.75554236824723,114.7433485860792,90.3047557670592,125.74428408984738,102.77313285465196,0.9105080010815324,7,-0.0236372486235892,1183.0,970.0,1026.0374999999997,1.152979301438788,0.945384549784974,0,0.875,3.404187397531942,23,226,61.902556869883966
San Diego St.,MWC,32-7,110.77338302386698,61,89.52728852782471,4,0.92047694517721,11,32,7,15,3,15-3,0.7083064457114093,0.6334766963818187,0.700656717610067,0.7083064457114093,0.6334766963818187,0.700656717610067,0.7142288464146184,0.7529875304998508,110.24491145716487,99.69086617701367,110.24491145716487,99.69086617701367,115.47191792680866,92.80247730862293,129.39180341910878,107.03822566097278,0.898537457053976,13,0.065955019838526,1282.0,1147.0,1158.95,1.1061736917036973,0.9896889425773328,0,0.8333333333333334,5.654292342654374,10,45,65.69297888771952
Marquette,BE,29-7,118.71228090386428,8,96.03204562794453,41,0.9196971527518728,12,29,7,17,3,17-3,0.6940083321294479,0.5211988584885034,0.7538263244246093,0.6940083321294479,0.5211988584885034,0.7538263244246093,0.6931327941457582,0.8104679663610915,109.02441465915064,99.62421691453729,109.02441465915064,99.62421691453729,120.79789359977138,98.18056079125677,130.2500012619836,100.99253093250816,0.949102595168816,14,0.0749035483589384,1607.0,1458.0,1399.8,1.1480211458779823,1.0415773681954563,0,0.85,7.827454351328102,6,32,68.38038977916031
Creighton,BE,24-13,115.00113876087008,21,93.24520489015596,15,0.9177119789333884,13,24,13,14,6,14-6,0.7318135875655345,0.6315983216312451,0.7540297016805894,0.7318135875655345,0.6315983216312451,0.7540297016805894,0.66841688669499,0.7267581184769166,110.5448417066638,99.11339199779532,110.5448417066638,99.11339199779532,115.36802994339864,91.44688612629844,120.46774083031757,100.51398423030476,0.889188543415085,16,-0.0562457172009078,1524.0,1343.0,1384.7624999999996,1.1005497332575085,0.9698413987958228,0,0.7,2.1580764538992336,29,299,67.68228429397473
